,outcome,nestingvariable,phylogeny,contrast lower,contrast upper
360,relaxed,dimorphic female_evictions,yes,-1.2200815,0.16554489
361,perc_won,no dimorphic female_infanticide,no,0.521934115,0.814822305
362,perc_won,dimorphic female_infanticide,no,-1.3599198,-0.914126665
363,perc_won,no dimorphic female_infanticide,yes,-1.17678995,0.273208485
364,perc_won,dimorphic female_infanticide,yes,-1.13112205,0.29231089
365,strict,no dimorphic female_infanticide,no,0.014287849,1.1751669
366,strict,dimorphic female_infanticide,no,-1.08134215,-0.071413374
367,strict,no dimorphic female_infanticide,yes,0.058488459,1.17523475
368,strict,dimorphic female_infanticide,yes,-1.0752144,-0.036430181
369,relaxed,no dimorphic female_infanticide,no,-0.238215195,0.870071115
370,relaxed,dimorphic female_infanticide,no,-1.2868581,-0.081460606
371,relaxed,no dimorphic female_infanticide,yes,-0.24013721,0.946299225
372,relaxed,dimorphic female_infanticide,yes,-1.3585507,-0.123136545
373,perc_won,no dimorphic ovulation_signs,no,0.6333385,0.77081896
374,perc_won,dimorphic ovulation_signs,no,-0.79076575,-0.625221535
375,perc_won,no dimorphic ovulation_signs,yes,0.35402837,1.1196126
376,perc_won,dimorphic ovulation_signs,yes,-2.2724802,-1.09029455
377,strict,no dimorphic ovulation_signs,no,0.287883555,1.07586515
378,strict,dimorphic ovulation_signs,no,-0.585421375,0.023843869
379,strict,no dimorphic ovulation_signs,yes,0.32031906,1.17571665
380,strict,dimorphic ovulation_signs,yes,-0.720986265,-0.039379707
381,relaxed,no dimorphic ovulation_signs,no,0.27383059,1.20518905
382,relaxed,dimorphic ovulation_signs,no,-0.74520028,-0.040894156
383,relaxed,no dimorphic ovulation_signs,yes,0.19918255,1.2426442
384,relaxed,dimorphic ovulation_signs,yes,-0.996798885,-0.11216737
