,outcome,continuouspredictor,phylogeny,estimate lower,estimate upper,association_present
199,strict male dominance,Strata_Wilman S minus Ar,No,0.024831463,0.387700822,confident
200,strict male dominance,Strata_Wilman S minus Ar,Yes,-0.199781812,0.286249238,not
201,perc_won,origin wild minus captive,No,-0.123568747,-0.063134983,confident
202,perc_won,origin wild minus captive,Yes,-0.106931788,0.027830872,not
203,strict three way,origin wild minus captive,No,-0.234691518,0.05652195,not
204,strict three way,origin wild minus captive,Yes,-0.240441607,0.04875659,not
205,strict female dominance,origin wild minus captive,No,-0.202011171,0.089788642,not
206,strict female dominance,origin wild minus captive,Yes,-0.195965891,0.108821575,not
207,strict male dominance,origin wild minus captive,No,-0.081000026,0.158940756,not
208,strict male dominance,origin wild minus captive,Yes,-0.041077033,0.35335555,not
209,perc_won,fissionfusion Yes minus No,No,-0.758931513,-0.637510305,confident
210,perc_won,fissionfusion Yes minus No,Yes,-0.968318407,-0.901644137,confident
211,strict three way,fissionfusion Yes minus No,No,-0.555968934,-0.2058865,confident
212,strict three way,fissionfusion Yes minus No,Yes,-0.56050938,-0.197915154,confident
213,strict female dominance,fissionfusion Yes minus No,No,-0.23405399,0.113998433,not
214,strict female dominance,fissionfusion Yes minus No,Yes,-0.342506391,0.061490256,not
215,strict male dominance,fissionfusion Yes minus No,No,0.284600854,0.625682276,confident
216,strict male dominance,fissionfusion Yes minus No,Yes,0.2001524,0.566822415,confident
217,perc_won,between_groupconflict Malebiased minus Femalebiased,No,-0.604043592,-0.397861763,confident
218,perc_won,between_groupconflict Unbiased minus Femalebiased,No,-0.477467637,-0.244001946,confident
219,perc_won,between_groupconflict Unbiased minus Malebiased,No,0.097538856,0.199342421,confident
220,perc_won,between_groupconflict Malebiased minus Femalebiased,Yes,-0.729699335,-0.158646107,confident
221,perc_won,between_groupconflict Unbiased minus Femalebiased,Yes,-0.602482441,0.156258699,not
222,perc_won,between_groupconflict Unbiased minus Malebiased,Yes,-0.161878208,0.62783802,not
223,strict three way,between_groupconflict Malebiased minus Femalebiased,No,-0.404672809,0.030332734,not
224,strict three way,between_groupconflict Unbiased minus Femalebiased,No,-0.300562116,0.139553016,not
225,strict three way,between_groupconflict Unbiased minus Malebiased,No,-0.116949064,0.315393938,not
226,strict three way,between_groupconflict Malebiased minus Femalebiased,Yes,-0.404459279,0.03440141,not
227,strict three way,between_groupconflict Unbiased minus Femalebiased,Yes,-0.30886551,0.15869389,not
228,strict three way,between_groupconflict Unbiased minus Malebiased,Yes,-0.124320526,0.340410218,not
229,strict female dominance,between_groupconflict Malebiased minus Femalebiased,No,-0.353928187,0.08182131,not
230,strict female dominance,between_groupconflict Unbiased minus Femalebiased,No,-0.32805097,0.121496931,not
231,strict female dominance,between_groupconflict Unbiased minus Malebiased,No,-0.200360707,0.263053108,not
232,strict female dominance,between_groupconflict Malebiased minus Femalebiased,Yes,-0.369568589,0.082517652,not
