"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"227","strict female dominance","MatSysPMK PRO minus MON","No",-0.127911052172975,0.269330531827606,"not"
"228","strict female dominance","MatSysPMK POL minus PAN","No",-0.206894326280291,0.288063985677756,"not"
"229","strict female dominance","MatSysPMK PRO minus PAN","No",-0.0716067235554851,0.317578514323476,"not"
"230","strict female dominance","MatSysPMK PRO minus POL","No",-0.141177307832589,0.290868897656131,"not"
"231","strict female dominance","MatSysPMK PAN minus MON","Yes",-0.262591821277667,0.174678653436814,"not"
"232","strict female dominance","MatSysPMK POL minus MON","Yes",-0.230079609509519,0.254788854859219,"not"
"233","strict female dominance","MatSysPMK PRO minus MON","Yes",-0.1409113326791,0.244496047171229,"not"
"234","strict female dominance","MatSysPMK POL minus PAN","Yes",-0.189169491943531,0.285221926076238,"not"
"235","strict female dominance","MatSysPMK PRO minus PAN","Yes",-0.108027168117268,0.298203931205888,"not"
"236","strict female dominance","MatSysPMK PRO minus POL","Yes",-0.194056357560793,0.285606835159431,"not"
"237","strict male dominance","MatSysPMK PAN minus MON","No",-0.190719463354982,0.206311987829582,"not"
"238","strict male dominance","MatSysPMK POL minus MON","No",-0.080947882779929,0.382822579009627,"not"
"239","strict male dominance","MatSysPMK PRO minus MON","No",-0.289060421286862,0.0513327063489543,"not"
"240","strict male dominance","MatSysPMK POL minus PAN","No",-0.089898478886316,0.364220852678192,"not"
"241","strict male dominance","MatSysPMK PRO minus PAN","No",-0.298692771182279,0.0432587218875948,"not"
"242","strict male dominance","MatSysPMK PRO minus POL","No",-0.470241901762554,-0.0589529530364444,"confident"
"243","strict male dominance","MatSysPMK PAN minus MON","Yes",-0.244161976836192,0.254868065313907,"not"
"244","strict male dominance","MatSysPMK POL minus MON","Yes",-0.222693370954745,0.268797584988073,"not"
"245","strict male dominance","MatSysPMK PRO minus MON","Yes",-0.276498913713021,0.21727854104054,"not"
"246","strict male dominance","MatSysPMK POL minus PAN","Yes",-0.248991193258346,0.288104467472346,"not"
"247","strict male dominance","MatSysPMK PRO minus PAN","Yes",-0.270591946973392,0.214733522775991,"not"
"248","strict male dominance","MatSysPMK PRO minus POL","Yes",-0.316907971083638,0.207008649695892,"not"
"249","perc_won","female_dispersal Yes minus No","No",0.0509923794007074,0.192862888807914,"confident"
"250","perc_won","female_dispersal Yes minus No","Yes",-0.301291519093997,0.369543321396852,"not"
"251","strict three way","female_dispersal Yes minus No","No",-0.261663895995673,0.180173573315703,"not"
"252","strict three way","female_dispersal Yes minus No","Yes",-0.261276639094508,0.212403481934296,"not"
"253","strict female dominance","female_dispersal Yes minus No","No",-0.290264761632801,0.141493023559825,"not"
"254","strict female dominance","female_dispersal Yes minus No","Yes",-0.268713042845624,0.17352840324761,"not"
"255","strict male dominance","female_dispersal Yes minus No","No",-0.0345709432397436,0.363128888887723,"not"
"256","strict male dominance","female_dispersal Yes minus No","Yes",-0.184556589889041,0.294020119968843,"not"
"257","perc_won","male_dispersal Yes minus No","No",0.00640146971579828,0.187520293729894,"confident"
"258","perc_won","male_dispersal Yes minus No","Yes",-0.026007183905429,0.373263459648847,"not"
"259","strict three way","male_dispersal Yes minus No","No",-0.191656359494953,0.331057992575116,"not"
"260","strict three way","male_dispersal Yes minus No","Yes",-0.170390789714978,0.307583424075862,"not"
"261","strict female dominance","male_dispersal Yes minus No","No",-0.1166114708438,0.330511912878081,"not"
"262","strict female dominance","male_dispersal Yes minus No","Yes",-0.149556140961211,0.311910003226212,"not"
"263","strict male dominance","male_dispersal Yes minus No","No",-0.449197588199053,-0.0418855909195257,"confident"
"264","strict male dominance","male_dispersal Yes minus No","Yes",-0.339387476485542,0.167530748933514,"not"
"265","perc_won","sexbias_dispersal Female minus Both","No",-0.424706975835895,-0.16747510098737,"confident"
"266","perc_won","sexbias_dispersal Male minus Both","No",-0.316882393325053,-0.134391791056714,"confident"
"267","perc_won","sexbias_dispersal Male minus Female","No",-0.0264517149638502,0.17681552640411,"not"
"268","perc_won","sexbias_dispersal Female minus Both","Yes",-0.367566093656945,0.0444899769936673,"not"
"269","perc_won","sexbias_dispersal Male minus Both","Yes",-0.371427985449438,0.278176397469703,"not"
